AT1G01240	chr1_99394_99893
AT2G41710	chr2_17403051_17403550
AT2G42260	chr2_17603634_17604133
AT2G42365	chr2_17645836_17646335
AT2G42380	chr2_17648946_17649445
AT2G42620	chr2_17755640_17756139
AT2G42640	chr2_17764112_17764611
AT2G42730	chr2_17791583_17792082
AT2G42740	chr2_17791229_17791728
AT2G42770	chr2_17800007_17800506
AT2G42780	chr2_17799944_17800443
AT2G42790	chr2_17806050_17806549
AT2G42800	chr2_17809591_17810090
AT2G42920	chr2_17858198_17858697
AT2G42940	chr2_17863457_17863956
AT2G42950	chr2_17863319_17863818
AT2G42975	chr2_17873447_17873946
AT2G43010	chr2_17885927_17886426
AT2G43018	chr2_17891004_17891503
AT2G43140	chr2_17935687_17936186
AT2G43180	chr2_17955830_17956329
AT2G43190	chr2_17955484_17955983
AT2G43240	chr2_17975868_17976367
AT2G43330	chr2_18000354_18000853
AT2G43480	chr2_18052502_18053001
AT2G43500	chr2_18061425_18061924
AT2G43600	chr2_18087019_18087518
AT2G43810	chr2_18148811_18149310
AT2G43945	chr2_18200195_18200694
AT2G44440	chr2_18339215_18339714
AT2G44610	chr2_18414082_18414581
AT2G44660	chr2_18422840_18423339
AT2G44730	chr2_18438566_18439065
AT2G44745	chr2_18449010_18449509
AT2G45210	chr2_18641066_18641565
AT2G45290	chr2_18672182_18672681
AT2G45300	chr2_18676811_18677310
AT2G45680	chr2_18821890_18822389
AT2G45685	chr2_18820191_18820690
AT2G45720	chr2_18832864_18833363
AT2G45730	chr2_18839161_18839660
AT2G45880	chr2_18882579_18883078
AT2G45910	chr2_18893574_18894073
AT2G45990	chr2_18918816_18919315
AT2G46000	chr2_18922180_18922679
AT2G46130	chr2_18956726_18957225
AT2G46170	chr2_18964813_18965312
AT2G46225	chr2_18981411_18981910
AT2G46230	chr2_18985960_18986459
AT2G46240	chr2_18985633_18986132
AT2G46270	chr2_18999691_19000190
AT2G46290	chr2_19007880_19008379
AT2G46310	chr2_19011003_19011502
AT2G46340	chr2_19027414_19027913
AT2G46500	chr2_19089028_19089527
AT2G46510	chr2_19093316_19093815
AT2G46535	chr2_19109120_19109619
AT2G46550	chr2_19114228_19114727
AT2G46610	chr2_19138763_19139262
AT2G46700	chr2_19186579_19187078
AT2G46790	chr2_19232149_19232648
AT2G46800	chr2_19236934_19237433
AT2G46910	chr2_19271781_19272280
AT2G46930	chr2_19283019_19283518
AT2G46950	chr2_19291615_19292114
AT2G46990	chr2_19307355_19307854
AT2G47010	chr2_19316626_19317125
AT2G47015	chr2_19319280_19319779
AT2G47140	chr2_19352089_19352588
AT2G47350	chr2_19433291_19433790
AT2G47390	chr2_19446366_19446865
AT2G47460	chr2_19475837_19476336
AT2G47600	chr2_19527414_19527913
AT2G47760	chr2_19568266_19568765
AT2G47780	chr2_19569549_19570048
AT2G47790	chr2_19573028_19573527
AT2G47800	chr2_19574364_19574863
AT2G47920	chr2_19615277_19615776
AT2G48000	chr2_19640804_19641303
AT2G48010	chr2_19640877_19641376
AT2G48020	chr2_19643600_19644099
AT3G01060	chr3_18841_19340
AT3G01360	chr3_138800_139299
AT3G01370	chr3_138511_139010
AT3G01490	chr3_193538_194037
AT3G01510	chr3_201743_202242
AT3G01680	chr3_251481_251980
AT3G01970	chr3_327413_327912
AT3G01990	chr3_329637_330136
AT3G02140	chr3_386539_387038
AT3G02150	chr3_390557_391056
AT3G02390	chr3_488280_488779
AT3G02480	chr3_511812_512311
AT3G02550	chr3_537999_538498
AT3G02570	chr3_545596_546095
AT3G02800	chr3_607887_608386
AT3G02980	chr3_672216_672715
AT3G02990	chr3_672972_673471
AT3G03160	chr3_729268_729767
AT3G03170	chr3_731391_731890
AT3G03210	chr3_740270_740769
AT3G03250	chr3_754160_754659
AT3G03310	chr3_781581_782080
AT3G03320	chr3_781215_781714
AT3G03350	chr3_790683_791182
AT3G03550	chr3_851591_852090
AT3G03590	chr3_867009_867508
AT3G03680	chr3_907000_907499
AT3G03790	chr3_961497_961996
AT3G04210	chr3_1108070_1108569
AT3G04240	chr3_1120873_1121372
AT3G04260	chr3_1127516_1128015
AT3G04370	chr3_1158923_1159422
AT3G04470	chr3_1192639_1193138
AT3G04620	chr3_1256870_1257369
AT3G04860	chr3_1340624_1341123
AT3G04940	chr3_1364665_1365164
AT3G05030	chr3_1397359_1397858
AT3G05130	chr3_1435380_1435879
AT3G05160	chr3_1457151_1457650
AT3G05210	chr3_1479038_1479537
AT3G05380	chr3_1539027_1539526
AT3G05500	chr3_1592934_1593433
AT3G05520	chr3_1598047_1598546
AT3G05630	chr3_1634700_1635199
AT3G05670	chr3_1652764_1653263
AT3G05700	chr3_1684573_1685072
AT3G05710	chr3_1684496_1684995
AT3G05750	chr3_1703620_1704119
AT3G06010	chr3_1807479_1807978
AT3G06030	chr3_1822841_1823340
AT3G06520	chr3_2019784_2020283
AT3G06650	chr3_2083292_2083791
AT3G06670	chr3_2113699_2114198
AT3G06760	chr3_2132258_2132757
AT3G06780	chr3_2142988_2143487
AT3G06868	chr3_2167230_2167729
AT3G07030	chr3_2225255_2225754
AT3G07160	chr3_2279384_2279883
AT3G07180	chr3_2285550_2286049
AT3G07880	chr3_2513471_2513970
AT3G08530	chr3_2595573_2596072
AT3G08570	chr3_2604413_2604912
AT3G08630	chr3_2620332_2620831
AT3G08640	chr3_2622380_2622879
AT3G08670	chr3_2633228_2633727
AT3G08720	chr3_2651161_2651660
AT3G08840	chr3_2686225_2686724
AT3G08890	chr3_2706132_2706631
AT3G08990	chr3_2742470_2742969
AT3G09000	chr3_2745144_2745643
AT3G09150	chr3_2803028_2803527
AT3G09280	chr3_2851259_2851758
AT3G09480	chr3_2915322_2915821
AT3G09490	chr3_2915059_2915558
AT3G09510	chr3_2921304_2921803
AT3G09530	chr3_2925802_2926301
AT3G09570	chr3_2939946_2940445
AT3G09600	chr3_2945906_2946405
AT3G09660	chr3_2966167_2966666
AT3G09670	chr3_2965875_2966374
AT3G09690	chr3_2971373_2971872
AT3G09910	chr3_3038450_3038949
AT3G09920	chr3_3044920_3045419
AT3G10160	chr3_3144524_3145023
AT3G10210	chr3_3161615_3162114
AT3G10220	chr3_3161257_3161756
AT3G10250	chr3_3170932_3171431
AT3G10260	chr3_3172967_3173466
AT3G10330	chr3_3199270_3199769
AT3G10340	chr3_3203513_3204012
AT3G10410	chr3_3238114_3238613
AT3G10420	chr3_3238680_3239179
AT3G10500	chr3_3270990_3271489
AT3G10800	chr3_3378754_3379253
AT3G10815	chr3_3386328_3386827
AT3G11020	chr3_3454855_3455354
AT3G11050	chr3_3463098_3463597
AT3G11110	chr3_3479479_3479978
AT3G11210	chr3_3513061_3513560
AT3G11330	chr3_3554764_3555263
AT3G11410	chr3_3585791_3586290
AT3G11450	chr3_3608087_3608586
AT3G11590	chr3_3659877_3660376
AT3G11670	chr3_3684559_3685058
AT3G11770	chr3_3722659_3723158
AT3G11840	chr3_3738258_3738757
AT3G11910	chr3_3770564_3771063
AT3G12010	chr3_3819852_3820351
AT3G12012	chr3_3819852_3820351
AT3G12210	chr3_3894278_3894777
AT3G12220	chr3_3899020_3899519
AT3G12300	chr3_3923156_3923655
AT3G12320	chr3_3923235_3923734
AT3G12380	chr3_3941901_3942400
AT3G12480	chr3_3957277_3957776
AT3G12502	chr3_3962624_3963123
AT3G12510	chr3_3966595_3967094
AT3G12560	chr3_3985551_3986050
AT3G12570	chr3_3988170_3988669
AT3G12600	chr3_4004012_4004511
AT3G12970	chr3_4142549_4143048
AT3G13065	chr3_4186871_4187370
AT3G13180	chr3_4240012_4240511
AT3G13277	chr3_4289582_4290081
AT3G13510	chr3_4403000_4403499
AT3G13550	chr3_4424884_4425383
AT3G13720	chr3_4495957_4496456
AT3G13740	chr3_4503770_4504269
AT3G13782	chr3_4526160_4526659
AT3G13880	chr3_4571680_4572179
AT3G13910	chr3_4591484_4591983
AT3G13980	chr3_4620263_4620762
AT3G14150	chr3_4693002_4693501
AT3G14160	chr3_4692861_4693360
AT3G14330	chr3_4782453_4782952
AT3G14440	chr3_4833600_4834099
AT3G14590	chr3_4907994_4908493
AT3G14870	chr3_5001867_5002366
AT3G15210	chr3_5120922_5121421
AT3G15250	chr3_5137196_5137695
AT3G15290	chr3_5144497_5144996
AT3G15357	chr3_5186616_5187115
AT3G15420	chr3_5208360_5208859
AT3G15430	chr3_5208238_5208737
AT3G15500	chr3_5234117_5234616
AT3G15520	chr3_5252507_5253006
AT3G15540	chr3_5263524_5264023
AT3G15640	chr3_5298610_5299109
AT3G15780	chr3_5340926_5341425
AT3G15790	chr3_5342516_5343015
AT3G15940	chr3_5396904_5397403
AT3G16000	chr3_5433818_5434317
AT3G16010	chr3_5433514_5434013
AT3G16050	chr3_5445330_5445829
AT3G16170	chr3_5475574_5476073
AT3G16620	chr3_5661964_5662463
AT3G17040	chr3_5812679_5813178
AT3G17250	chr3_5894447_5894946
AT3G17520	chr3_6000371_6000870
AT3G17580	chr3_6014684_6015183
AT3G17650	chr3_6033698_6034197
AT3G17680	chr3_6044505_6045004
AT3G17740	chr3_6072840_6073339
AT3G17770	chr3_6086139_6086638
AT3G17810	chr3_6093598_6094097
AT3G17860	chr3_6119267_6119766
AT3G18160	chr3_6220126_6220625
AT3G18210	chr3_6240606_6241105
AT3G18215	chr3_6240350_6240849
AT3G18290	chr3_6273495_6273994
AT3G18350	chr3_6296350_6296849
AT3G18710	chr3_6435562_6436061
AT3G18750	chr3_6457513_6458012
AT3G18950	chr3_6536215_6536714
AT3G18970	chr3_6545433_6545932
AT3G19180	chr3_6632176_6632675
AT3G19420	chr3_6730876_6731375
AT3G19540	chr3_6780119_6780618
AT3G19553	chr3_6792920_6793419
AT3G19580	chr3_6804234_6804733
AT3G19590	chr3_6805131_6805630
AT3G19615	chr3_6815404_6815903
AT3G19780	chr3_6869673_6870172
AT3G19790	chr3_6875857_6876356
AT3G19800	chr3_6875579_6876078
AT3G19840	chr3_6890586_6891085
AT3G20250	chr3_7063241_7063740
AT3G20340	chr3_7093502_7094001
AT3G20500	chr3_7157406_7157905
AT3G20550	chr3_7177943_7178442
AT3G20720	chr3_7239408_7239907
AT3G20910	chr3_7325882_7326381
AT3G21060	chr3_7376934_7377433
AT3G21215	chr3_7445304_7445803
AT3G21220	chr3_7445257_7445756
AT3G21600	chr3_7608408_7608907
AT3G21781	chr3_7675554_7676053
AT3G21865	chr3_7703386_7703885
AT3G21870	chr3_7704830_7705329
AT3G22100	chr3_7784470_7784969
AT3G22104	chr3_7788876_7789375
AT3G22310	chr3_7886786_7887285
AT3G22370	chr3_7906291_7906790
AT3G22380	chr3_7912405_7912904
AT3G22450	chr3_7961943_7962442
AT3G22670	chr3_8019460_8019959
AT3G22680	chr3_8019208_8019707
AT3G22968	chr3_8151538_8152037
AT3G22970	chr3_8151538_8152037
AT3G23440	chr3_8404685_8405184
AT3G23570	chr3_8459692_8460191
AT3G23580	chr3_8459545_8460044
AT3G23670	chr3_8518664_8519163
AT3G23900	chr3_8636060_8636559
AT3G23920	chr3_8641069_8641568
AT3G24050	chr3_8685373_8685872
AT3G24090	chr3_8700972_8701471
AT3G24190	chr3_8742753_8743252
AT3G24440	chr3_8878172_8878671
AT3G24715	chr3_9025349_9025848
AT3G24840	chr3_9066340_9066839
AT3G24929	chr3_9103995_9104494
AT3G25110	chr3_9148487_9148986
AT3G25250	chr3_9195003_9195502
AT3G25400	chr3_9212656_9213155
AT3G25780	chr3_9408790_9409289
AT3G25905	chr3_9486772_9487271
AT3G26000	chr3_9509259_9509758
AT3G26180	chr3_9580087_9580586
AT3G26400	chr3_9666116_9666615
AT3G26440	chr3_9676064_9676563
AT3G26618	chr3_9788105_9788604
AT3G26750	chr3_9842080_9842579
AT3G26890	chr3_9911934_9912433
AT3G26910	chr3_9918785_9919284
AT3G27020	chr3_9964598_9965097
AT3G27210	chr3_10047344_10047843
AT3G27220	chr3_10053679_10054178
AT3G27230	chr3_10053429_10053928
AT3G27250	chr3_10061045_10061544
AT3G27360	chr3_10129938_10130437
AT3G27380	chr3_10132761_10133260
AT3G27400	chr3_10139823_10140322
AT3G27420	chr3_10148085_10148584
AT3G27470	chr3_10162549_10163048
AT3G27920	chr3_10363507_10364006
AT3G27950	chr3_10377548_10378047
AT3G28150	chr3_10473755_10474254
AT3G28220	chr3_10523904_10524403
AT3G29075	chr3_11052695_11053194
AT3G29320	chr3_11252307_11252806
AT3G29575	chr3_11384005_11384504
AT3G30380	chr3_11973566_11974065
AT3G36659	chr3_2099689_2100188
AT3G42150	chr3_14308814_14309313
AT3G42170	chr3_14320452_14320951
AT3G43110	chr3_15092468_15092967
AT3G43210	chr3_15190434_15190933
AT3G44160	chr3_15891989_15892488
AT3G44320	chr3_15992879_15993378
AT3G44420	chr3_16055797_16056296
AT3G45230	chr3_16568551_16569050
AT3G45310	chr3_16630522_16631021
AT3G45600	chr3_16735952_16736451
AT3G45680	chr3_16770433_16770932
AT3G45730	chr3_16789480_16789979
AT3G46450	chr3_17095640_17096139
AT3G46550	chr3_17137875_17138374
AT3G46590	chr3_17152275_17152774
AT3G46620	chr3_17180068_17180567
AT3G46630	chr3_17182458_17182957
AT3G46640	chr3_17182570_17183069
AT3G46790	chr3_17234003_17234502
AT3G46920	chr3_17284858_17285357
AT3G47060	chr3_17332485_17332984
AT3G47080	chr3_17340397_17340896
AT3G47160	chr3_17362119_17362618
AT3G47490	chr3_17497779_17498278
AT3G47540	chr3_17520529_17521028
AT3G47750	chr3_17605927_17606426
AT3G47780	chr3_17623979_17624478
AT3G48070	chr3_17750211_17750710
AT3G48090	chr3_17757781_17758280
AT3G48260	chr3_17875221_17875720
AT3G48350	chr3_17905225_17905724
AT3G48390	chr3_17920315_17920814
AT3G48510	chr3_17968539_17969038
AT3G48610	chr3_18014083_18014582
AT3G48660	chr3_18029159_18029658
AT3G48800	chr3_18096662_18097161
AT3G48810	chr3_18096548_18097047
AT3G48820	chr3_18102912_18103411
AT3G48830	chr3_18102652_18103151
AT3G49110	chr3_18200164_18200663
AT3G49260	chr3_18261899_18262398
AT3G49470	chr3_18340476_18340975
AT3G49500	chr3_18353625_18354124
AT3G49530	chr3_18364914_18365413
AT3G49550	chr3_18367409_18367908
AT3G49570	chr3_18373025_18373524
AT3G49601	chr3_18389565_18390064
AT3G49660	chr3_18413113_18413612
AT3G49710	chr3_18437345_18437844
AT3G49760	chr3_18456126_18456625
AT3G49810	chr3_18476835_18477334
AT3G50060	chr3_18559107_18559606
AT3G50070	chr3_18566781_18567280
AT3G50360	chr3_18673837_18674336
AT3G50380	chr3_18700534_18701033
AT3G50640	chr3_18804664_18805163
AT3G50790	chr3_18881983_18882482
AT3G50800	chr3_18883000_18883499
AT3G50850	chr3_18902153_18902652
AT3G50860	chr3_18901497_18901996
AT3G50920	chr3_18923717_18924216
AT3G51000	chr3_18946622_18947121
AT3G51180	chr3_19012890_19013389
AT3G51370	chr3_19068863_19069362
AT3G51400	chr3_19078956_19079455
AT3G51450	chr3_19090447_19090946
AT3G51470	chr3_19099276_19099775
AT3G51580	chr3_19133348_19133847
AT3G51670	chr3_19168350_19168849
AT3G51750	chr3_19197357_19197856
AT3G51830	chr3_19219621_19220120
AT3G52090	chr3_19319124_19319623
AT3G52100	chr3_19318843_19319342
AT3G52105	chr3_19322832_19323331
AT3G52110	chr3_19325714_19326213
AT3G52220	chr3_19371075_19371574
AT3G52850	chr3_19587321_19587820
AT3G53000	chr3_19653568_19654067
AT3G53110	chr3_19687240_19687739
AT3G53170	chr3_19706418_19706917
AT3G53180	chr3_19706394_19706893
AT3G53210	chr3_19719665_19720164
AT3G53350	chr3_19782681_19783180
AT3G53370	chr3_19788844_19789343
AT3G53380	chr3_19791417_19791916
AT3G53390	chr3_19792031_19792530
AT3G53402	chr3_19797607_19798106
AT3G53450	chr3_19815431_19815930
AT3G53470	chr3_19822226_19822725
AT3G53670	chr3_19889864_19890363
AT3G53700	chr3_19899780_19900279
AT3G53710	chr3_19905490_19905989
AT3G53720	chr3_19910113_19910612
AT3G53800	chr3_19930361_19930860
AT3G53830	chr3_19940314_19940813
AT3G53880	chr3_19952673_19953172
AT3G54000	chr3_19996107_19996606
AT3G54110	chr3_20038180_20038679
AT3G54130	chr3_20044527_20045026
AT3G54440	chr3_20157139_20157638
AT3G54460	chr3_20167294_20167793
AT3G54650	chr3_20228922_20229421
AT3G54740	chr3_20261891_20262390
AT3G54760	chr3_20272458_20272957
AT3G54826	chr3_20309827_20310326
AT3G54960	chr3_20366841_20367340
AT3G55090	chr3_20418553_20419052
AT3G55120	chr3_20431471_20431970
AT3G55140	chr3_20438272_20438771
AT3G55240	chr3_20474764_20475263
AT3G55640	chr3_20639333_20639832
AT3G55830	chr3_20714446_20714945
AT3G55900	chr3_20742654_20743153
AT3G55910	chr3_20742399_20742898
AT3G56010	chr3_20788170_20788669
AT3G56050	chr3_20801166_20801665
AT3G56090	chr3_20816036_20816535
AT3G56100	chr3_20819518_20820017
AT3G56275	chr3_20872331_20872830
AT3G56330	chr3_20889750_20890249
AT3G56370	chr3_20902982_20903481
AT3G56580	chr3_20961051_20961550
AT3G56710	chr3_21007566_21008065
AT3G56970	chr3_21085151_21085650
AT3G57050	chr3_21114663_21115162
AT3G57470	chr3_21276014_21276513
AT3G57520	chr3_21293159_21293658
AT3G57540	chr3_21303062_21303561
AT3G57560	chr3_21312313_21312812
AT3G57570	chr3_21311944_21312443
AT3G57590	chr3_21331397_21331896
AT3G57630	chr3_21343797_21344296
AT3G57680	chr3_21380554_21381053
AT3G57860	chr3_21425814_21426313
AT3G57880	chr3_21434601_21435100
AT3G58120	chr3_21523328_21523827
AT3G58180	chr3_21543597_21544096
AT3G58640	chr3_21693842_21694341
AT3G58840	chr3_21758773_21759272
AT3G58980	chr3_21797007_21797506
AT3G59020	chr3_21817556_21818055
AT3G59052	chr3_21827510_21828009
AT3G59060	chr3_21830508_21831007
AT3G59210	chr3_21889071_21889570
AT3G59220	chr3_21893634_21894133
AT3G59340	chr3_21931571_21932070
AT3G59490	chr3_21986352_21986851
AT3G59500	chr3_21986041_21986540
AT3G59580	chr3_22008551_22009050
AT3G59650	chr3_22032629_22033128
AT3G59670	chr3_22038976_22039475
AT3G59765	chr3_22078340_22078839
AT3G59770	chr3_22086150_22086649
AT3G59820	chr3_22102165_22102664
AT3G60240	chr3_22261150_22261649
AT3G60286	chr3_22282249_22282748
AT3G60340	chr3_22303652_22304151
AT3G60410	chr3_22330985_22331484
AT3G60540	chr3_22375866_22376365
AT3G60690	chr3_22434621_22435120
AT3G60900	chr3_22501240_22501739
AT3G60910	chr3_22501198_22501697
AT3G61050	chr3_22596727_22597226
AT3G61060	chr3_22602410_22602909
AT3G61113	chr3_22615416_22615915
AT3G61415	chr3_22726425_22726924
AT3G61420	chr3_22731955_22732454
AT3G61450	chr3_22737853_22738352
AT3G61460	chr3_22742285_22742784
AT3G61630	chr3_22804680_22805179
AT3G61680	chr3_22822981_22823480
AT3G61690	chr3_22827384_22827883
AT3G61710	chr3_22842433_22842932
AT3G61750	chr3_22859255_22859754
AT3G61860	chr3_22902396_22902895
AT3G61920	chr3_22933363_22933862
AT3G62090	chr3_22990710_22991209
AT3G62100	chr3_22995291_22995790
AT3G62110	chr3_23000042_23000541
AT3G62120	chr3_23004322_23004821
AT3G62160	chr3_23015840_23016339
AT3G62260	chr3_23040585_23041084
AT3G62590	chr3_23150353_23150852
AT3G62600	chr3_23153511_23154010
AT3G62700	chr3_23195763_23196262
AT3G62760	chr3_23218247_23218746
AT3G62940	chr3_23264732_23265231
AT3G62970	chr3_23270133_23270632
AT3G63070	chr3_23301865_23302364
AT3G63430	chr3_23419866_23420365
AT3G63460	chr3_23437375_23437874
AT3G63480	chr3_23444007_23444506
AT3G66652	chr3_2082894_2083393
AT4G00026	chr4_13360_13859
AT4G00030	chr4_13027_13526
AT4G00080	chr4_32393_32892
AT4G00110	chr4_40190_40689
AT4G00310	chr4_133143_133642
AT4G00490	chr4_221820_222319
AT4G00570	chr4_246772_247271
AT4G00630	chr4_268051_268550
AT4G00700	chr4_285551_286050
AT4G00840	chr4_357280_357779
AT4G00850	chr4_357051_357550
AT4G00970	chr4_417937_418436
AT4G01026	chr4_446552_447051
AT4G01070	chr4_463557_464056
AT4G01120	chr4_484484_484983
AT4G01240	chr4_521973_522472
AT4G01270	chr4_531851_532350
AT4G01280	chr4_534711_535210
AT4G01410	chr4_577665_578164
AT4G01550	chr4_676412_676911
AT4G01575	chr4_682602_683101
AT4G01670	chr4_712644_713143
AT4G01860	chr4_808061_808560
AT4G01880	chr4_812926_813425
AT4G01883	chr4_812568_813067
AT4G02005	chr4_879742_880241
AT4G02020	chr4_886100_886599
AT4G02050	chr4_900871_901370
AT4G02060	chr4_900136_900635
AT4G02110	chr4_934586_935085
AT4G02120	chr4_940278_940777
AT4G02360	chr4_1040642_1041141
AT4G02370	chr4_1041838_1042337
AT4G02425	chr4_1068786_1069285
AT4G02430	chr4_1068474_1068973
AT4G02500	chr4_1101007_1101506
AT4G02900	chr4_1283566_1284065
AT4G03030	chr4_1337369_1337868
AT4G03200	chr4_1407659_1408158
AT4G03390	chr4_1495104_1495603
AT4G03420	chr4_1511339_1511838
AT4G03560	chr4_1579556_1580055
AT4G04210	chr4_2029819_2030318
AT4G04830	chr4_2445294_2445793
AT4G04870	chr4_2464144_2464643
AT4G04970	chr4_2536539_2537038
AT4G05010	chr4_2566974_2567473
AT4G05020	chr4_2572121_2572620
AT4G07950	chr4_4797544_4798043
AT4G08230	chr4_5189645_5190144
AT4G08290	chr4_5238406_5238905
AT4G08980	chr4_5757605_5758104
AT4G09020	chr4_5783574_5784073
AT4G09500	chr4_6017635_6018134
AT4G09550	chr4_6038618_6039117
AT4G09620	chr4_6079103_6079602
AT4G10310	chr4_6391484_6391983
AT4G10600	chr4_6548865_6549364
AT4G10730	chr4_6614884_6615383
AT4G10940	chr4_6710924_6711423
AT4G10955	chr4_6718556_6719055
AT4G10960	chr4_6718551_6719050
AT4G11190	chr4_6826177_6826676
AT4G11240	chr4_6846612_6847111
AT4G11330	chr4_6891555_6892054
AT4G11780	chr4_7085470_7085969
AT4G11800	chr4_7099698_7100197
AT4G11910	chr4_7155752_7156251
AT4G11980	chr4_7185576_7186075
AT4G12030	chr4_7210418_7210917
AT4G12130	chr4_7263099_7263598
AT4G12680	chr4_7474604_7475103
AT4G12700	chr4_7484406_7484905
AT4G12790	chr4_7519423_7519922
AT4G12840	chr4_7536264_7536763
AT4G12850	chr4_7536475_7536974
AT4G12870	chr4_7541733_7542232
AT4G12910	chr4_7553333_7553832
AT4G13050	chr4_7617061_7617560
AT4G13160	chr4_7653147_7653646
AT4G13250	chr4_7686877_7687376
AT4G14150	chr4_8165009_8165508
AT4G14300	chr4_8230517_8231016
AT4G14310	chr4_8240325_8240824
AT4G14490	chr4_8333579_8334078
AT4G14500	chr4_8333676_8334175
AT4G14550	chr4_8350020_8350519
AT4G14600	chr4_8375900_8376399
AT4G14605	chr4_8377929_8378428
AT4G14660	chr4_8407846_8408345
AT4G14680	chr4_8415392_8415891
AT4G14900	chr4_8523706_8524205
AT4G14940	chr4_8541379_8541878
AT4G15090	chr4_8613567_8614066
AT4G15110	chr4_8633056_8633555
AT4G15120	chr4_8634225_8634724
AT4G15140	chr4_8640292_8640791
AT4G15215	chr4_8671570_8672069
AT4G15230	chr4_8679682_8680181
AT4G15248	chr4_8708348_8708847
AT4G15417	chr4_8821217_8821716
AT4G16000	chr4_9064482_9064981
AT4G16155	chr4_9157323_9157822
AT4G16250	chr4_9199487_9199986
AT4G16380	chr4_9254055_9254554
AT4G16490	chr4_9295626_9296125
AT4G16500	chr4_9302023_9302522
AT4G16650	chr4_9371977_9372476
AT4G16660	chr4_9376237_9376736
AT4G16760	chr4_9428896_9429395
AT4G16970	chr4_9555785_9556284
AT4G17190	chr4_9650913_9651412
AT4G17300	chr4_9681039_9681538
AT4G17330	chr4_9697579_9698078
AT4G17420	chr4_9724641_9725140
AT4G17500	chr4_9758825_9759324
AT4G17550	chr4_9779739_9780238
AT4G17615	chr4_9815952_9816451
AT4G17640	chr4_9824653_9825152
AT4G17720	chr4_9864664_9865163
AT4G17830	chr4_9915313_9915812
AT4G17940	chr4_9965242_9965741
AT4G18010	chr4_9994421_9994920
AT4G18140	chr4_10049439_10049938
AT4G18230	chr4_10081940_10082439
AT4G18240	chr4_10081608_10082107
AT4G18330	chr4_10126079_10126578
AT4G18360	chr4_10148683_10149182
AT4G18370	chr4_10148629_10149128
AT4G18520	chr4_10217205_10217704
AT4G18530	chr4_10216838_10217337
AT4G18700	chr4_10290851_10291350
AT4G18810	chr4_10325817_10326316
AT4G18890	chr4_10352122_10352621
AT4G18950	chr4_10374864_10375363
AT4G19010	chr4_10414250_10414749
AT4G19020	chr4_10414026_10414525
AT4G19040	chr4_10437432_10437931
AT4G19230	chr4_10520879_10521378
AT4G19560	chr4_10660928_10661427
AT4G19650	chr4_10691174_10691673
AT4G19710	chr4_10724355_10724854
AT4G19820	chr4_10768615_10769114
AT4G20090	chr4_10870383_10870882
AT4G20362	chr4_10992160_10992659
AT4G20440	chr4_11023756_11024255
AT4G20730	chr4_11120596_11121095
AT4G21060	chr4_11240230_11240729
AT4G21270	chr4_11334136_11334635
AT4G21300	chr4_11335979_11336478
AT4G22110	chr4_11714229_11714728
AT4G22200	chr4_11750699_11751198
AT4G22217	chr4_11758108_11758607
AT4G22320	chr4_11794779_11795278
AT4G22745	chr4_11948758_11949257
AT4G22880	chr4_12006210_12006709
AT4G23050	chr4_12079560_12080059
AT4G23170	chr4_12134593_12135092
AT4G23490	chr4_12254271_12254770
AT4G23590	chr4_12306626_12307125
AT4G23600	chr4_12310119_12310618
AT4G23650	chr4_12327460_12327959
AT4G23840	chr4_12399845_12400344
AT4G23910	chr4_12426060_12426559
AT4G24100	chr4_12514576_12515075
AT4G24200	chr4_12560945_12561444
AT4G24240	chr4_12571266_12571765
AT4G24480	chr4_12649487_12649986
AT4G24620	chr4_12712826_12713325
AT4G24740	chr4_12757787_12758286
AT4G24760	chr4_12763782_12764281
AT4G24790	chr4_12777058_12777557
AT4G25250	chr4_12934062_12934561
AT4G25260	chr4_12936659_12937158
AT4G25280	chr4_12940745_12941244
AT4G25390	chr4_12976841_12977340
AT4G25450	chr4_13013972_13014471
AT4G25470	chr4_13016221_13016720
AT4G25520	chr4_13036214_13036713
AT4G25580	chr4_13055684_13056183
AT4G25670	chr4_13087091_13087590
AT4G25690	chr4_13091799_13092298
AT4G25692	chr4_13091798_13092297
AT4G25800	chr4_13124398_13124897
AT4G26455	chr4_13364868_13365367
AT4G26700	chr4_13462616_13463115
AT4G26760	chr4_13481809_13482308
AT4G26890	chr4_13511339_13511838
AT4G26910	chr4_13523226_13523725
AT4G26940	chr4_13532700_13533199
AT4G27410	chr4_13709150_13709649
AT4G27560	chr4_13761560_13762059
AT4G27657	chr4_13812544_13813043
AT4G27780	chr4_13847049_13847548
AT4G27840	chr4_13866288_13866787
AT4G27870	chr4_13878423_13878922
AT4G27940	chr4_13903974_13904473
AT4G28290	chr4_14012584_14013083
AT4G28330	chr4_14022988_14023487
AT4G28440	chr4_14059488_14059987
AT4G28703	chr4_14165769_14166268
AT4G28720	chr4_14192083_14192582
AT4G28940	chr4_14273841_14274340
AT4G29160	chr4_14380253_14380752
AT4G29270	chr4_14424883_14425382
AT4G29420	chr4_14472233_14472732
AT4G29430	chr4_14471900_14472399
AT4G29540	chr4_14497229_14497728
AT4G29730	chr4_14562539_14563038
AT4G29740	chr4_14565765_14566264
AT4G29930	chr4_14643509_14644008
AT4G30080	chr4_14706337_14706836
AT4G30240	chr4_14809986_14810485
AT4G30310	chr4_14831361_14831860
AT4G30620	chr4_14950073_14950572
